Reason_1,Reason_2,Reason_3,Reason_4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month,Day of the Week
0,0,0,1,289,36,33,389,30,0,2,1,4,7,2
0,0,0,0,118,13,50,389,31,0,1,0,0,7,2
0,0,0,1,179,51,38,389,31,0,0,0,2,7,3
1,0,0,0,279,5,39,389,24,0,2,0,4,7,4
0,0,0,1,289,36,33,389,30,0,2,1,2,7,4
0,0,0,1,179,51,38,389,31,0,0,0,2,7,5
0,0,0,1,361,52,28,389,27,0,1,4,8,7,5
0,0,0,1,260,50,36,389,23,0,4,0,4,7,5
0,0,1,0,155,12,34,389,25,0,2,0,40,7,1
0,0,0,1,235,11,37,389,29,1,1,1,8,7,1
1,0,0,0,260,50,36,389,23,0,4,0,8,7,1
1,0,0,0,260,50,36,389,23,0,4,0,8,7,2
1,0,0,0,260,50,36,389,23,0,4,0,8,7,3
1,0,0,0,179,51,38,389,31,0,0,0,1,7,3
0,0,0,1,179,51,38,389,31,0,0,0,4,7,3
1,0,0,0,246,25,41,389,23,0,0,0,8,7,5
0,0,0,1,179,51,38,389,31,0,0,0,2,7,5
0,0,1,0,179,51,38,389,31,0,0,0,8,7,1
1,0,0,0,189,29,33,389,25,0,2,2,8,7,4
0,0,0,1,248,25,47,389,32,0,2,1,2,8,3
1,0,0,0,330,16,28,389,25,1,0,0,8,8,3
1,0,0,0,179,51,38,389,31,0,0,0,1,8,1
1,0,0,0,361,52,28,389,27,0,1,4,40,8,1
0,0,0,1,260,50,36,389,23,0,4,0,4,8,5
0,0,1,0,289,36,33,389,30,0,2,1,8,8,1
0,0,0,1,361,52,28,389,27,0,1,4,7,8,1
0,0,0,1,289,36,33,389,30,0,2,1,1,8,2
0,0,0,1,157,27,29,389,22,0,0,0,4,8,3
0,0,1,0,289,36,33,389,30,0,2,1,8,8,3
0,0,0,1,179,51,38,389,31,0,0,0,2,8,5
0,0,1,0,179,51,38,389,31,0,0,0,8,8,1
0,0,1,0,235,29,48,389,33,0,1,5,8,8,4
0,0,0,1,235,11,37,389,29,1,1,1,4,8,4
0,0,1,0,235,29,48,389,33,0,1,5,8,8,1
0,0,0,1,179,51,38,389,31,0,0,0,2,8,1
0,0,0,1,361,52,28,389,27,0,1,4,1,8,1
0,0,0,1,289,36,33,389,30,0,2,1,8,8,2
1,0,0,0,291,50,32,389,23,0,0,0,4,8,4
0,0,0,1,235,29,48,389,33,0,1,5,8,8,5
0,0,0,1,260,50,36,389,23,0,4,0,4,8,5
0,0,0,1,184,42,27,389,21,0,0,0,2,9,2
0,0,0,1,118,10,37,389,28,0,0,0,4,9,1
0,0,0,1,179,51,38,389,31,0,0,0,4,9,2
0,0,1,0,235,20,43,389,38,0,1,0,8,9,2
0,0,0,1,155,12,34,389,25,0,2,0,2,9,3
0,0,0,1,118,10,37,389,28,0,0,0,3,9,7
0,0,0,1,179,51,38,389,31,0,0,0,3,9,1
0,0,0,1,291,31,40,389,25,0,1,1,4,9,4
0,0,0,1,260,50,36,389,23,0,4,0,8,9,5
1,0,0,0,291,31,40,389,25,0,1,1,32,9,1
0,0,0,0,260,50,36,389,23,0,4,0,0,9,1
0,0,0,0,225,26,28,389,24,0,1,2,0,9,1
0,0,0,1,225,26,28,389,24,0,1,2,2,9,2
0,0,0,1,118,10,37,389,28,0,0,0,2,9,2
0,0,0,0,289,36,33,389,30,0,2,1,0,9,2
0,0,0,0,118,13,50,389,31,0,1,0,0,9,2
0,0,1,0,225,26,28,389,24,0,1,2,3,9,3
0,0,0,1,179,51,38,389,31,0,0,0,3,9,3
0,0,0,0,369,17,31,389,25,0,3,0,0,9,3
0,0,0,1,248,25,47,389,32,0,2,1,1,9,5
0,0,0,1,179,51,38,389,31,0,0,0,3,9,5
0,0,0,1,260,50,36,389,23,0,4,0,4,9,5
0,0,0,1,179,51,38,389,31,0,0,0,3,10,2
0,0,0,1,118,10,37,389,28,0,0,0,3,10,2
0,0,0,0,118,13,50,389,31,0,1,0,0,10,3
0,0,0,1,179,26,30,389,19,1,0,0,1,10,4
0,0,0,1,179,51,38,389,31,0,0,0,3,10,5
0,0,0,1,225,26,28,389,24,0,1,2,3,10,5
0,0,0,1,118,10,37,389,28,0,0,0,3,10,2
0,0,0,1,225,26,28,389,24,0,1,2,2,10,3
0,0,0,1,248,25,47,389,32,0,2,1,2,10,3
0,0,0,1,291,31,40,389,25,0,1,1,5,10,4
0,0,0,1,179,51,38,389,31,0,0,0,8,10,3
0,0,0,1,225,26,28,389,24,0,1,2,3,10,3
0,0,1,0,260,50,36,389,23,0,4,0,16,10,4
1,0,0,0,291,31,40,389,25,0,1,1,8,10,2
0,0,0,1,225,26,28,389,24,0,1,2,2,10,2
0,0,0,1,289,36,33,389,30,0,2,1,8,10,3
0,0,0,1,361,52,28,389,27,0,1,4,1,10,5
0,0,0,1,260,50,36,389,23,0,4,0,3,10,5
0,0,0,1,179,51,38,389,31,0,0,0,1,11,4
0,0,0,1,225,26,28,389,24,0,1,2,1,11,3
1,0,0,0,179,51,38,389,31,0,0,0,8,11,4
0,0,1,0,179,22,40,389,22,1,2,0,8,11,4
0,0,0,1,291,31,40,389,25,0,1,1,5,11,4
1,0,0,0,155,12,34,389,25,0,2,0,32,11,1
0,0,0,1,189,29,33,389,25,0,2,2,8,11,1
1,0,0,0,291,31,40,389,25,0,1,1,40,11,1
0,0,0,1,225,26,28,389,24,0,1,2,1,11,3
1,0,0,0,155,12,34,389,25,0,2,0,8,11,5
0,0,0,1,225,26,28,389,24,0,1,2,3,11,3
0,0,1,0,179,22,40,389,22,1,2,0,8,11,3
1,0,0,0,225,26,28,389,24,0,1,2,3,11,5
0,0,0,1,260,50,36,389,23,0,4,0,4,11,5
0,0,0,1,248,25,47,389,32,0,2,1,1,11,1
0,0,0,1,225,26,28,389,24,0,1,2,3,11,2
1,0,0,0,289,36,33,389,30,0,2,1,24,11,3
0,0,0,1,291,31,40,389,25,0,1,1,3,11,4
0,0,0,1,248,25,47,389,32,0,2,1,1,12,2
0,0,1,0,118,10,37,389,28,0,0,0,64,12,2
0,0,0,1,118,13,50,389,31,0,1,0,2,12,3
0,0,0,1,235,11,37,389,29,1,1,1,8,12,3
0,0,0,1,225,26,28,389,24,0,1,2,2,12,4
0,0,0,1,260,50,36,389,23,0,4,0,8,12,5
0,0,1,0,118,10,37,389,28,0,0,0,56,12,2
0,0,0,1,361,52,28,389,27,0,1,4,8,12,3
0,0,0,1,225,26,28,389,24,0,1,2,3,12,4
0,0,0,1,260,50,36,389,23,0,4,0,3,12,5
0,0,0,1,225,26,28,389,24,0,1,2,2,12,2
0,0,0,1,361,52,28,389,27,0,1,4,8,12,3
0,0,0,1,118,10,37,389,28,0,0,0,2,12,5
0,0,1,0,246,25,41,389,23,0,0,0,8,12,5
0,0,0,1,225,26,28,389,24,0,1,2,2,12,5
0,0,0,1,225,26,28,389,24,0,1,2,1,1,3
0,0,1,0,118,10,37,389,28,0,0,0,1,1,1
0,0,0,1,118,10,37,389,28,0,0,0,1,1,2
0,0,1,0,155,12,34,389,25,0,2,0,8,1,2
0,0,0,1,225,26,28,389,24,0,1,2,2,1,3
0,0,0,1,184,42,27,389,21,0,0,0,2,1,4
0,0,0,1,225,26,28,389,24,0,1,2,2,1,4
0,0,0,1,225,26,28,389,24,0,1,2,1,1,5
0,0,0,1,118,10,37,389,28,0,0,0,2,1,1
0,0,0,1,225,26,28,389,24,0,1,2,2,1,2
0,0,0,1,118,10,37,389,28,0,0,0,2,1,2
0,0,0,1,118,10,37,389,28,0,0,0,2,1,3
0,0,0,1,118,10,37,389,28,0,0,0,2,1,4
0,0,0,1,118,10,37,389,28,0,0,0,2,1,5
0,0,0,1,118,10,37,389,28,0,0,0,2,1,1
0,0,0,1,118,10,37,389,28,0,0,0,2,1,2
0,0,1,0,179,26,30,389,19,1,0,0,8,1,2
0,0,1,0,289,36,33,389,30,0,2,1,8,1,2
0,0,0,1,118,10,37,389,28,0,0,0,2,1,3
0,0,0,1,184,42,27,389,21,0,0,0,2,1,4
0,0,0,1,118,10,37,389,28,0,0,0,2,1,4
0,0,0,1,118,10,37,389,28,0,0,0,0,1,1
0,0,0,1,225,26,28,389,24,0,1,2,1,1,2
0,0,0,1,289,36,33,389,30,0,2,1,3,1,4
0,0,0,1,184,42,27,389,21,0,0,0,1,2,5
1,0,0,0,246,25,41,389,23,0,0,0,8,2,3
1,0,0,0,179,51,38,389,31,0,0,0,8,2,3
0,0,0,1,155,12,34,389,25,0,2,0,2,2,4
0,0,0,1,189,29,33,389,25,0,2,2,8,2,4
0,0,0,1,260,50,36,389,23,0,4,0,2,2,5
0,0,0,1,289,36,33,389,30,0,2,1,8,2,5
1,0,0,0,388,15,50,389,24,0,0,0,8,2,1
1,0,0,0,388,15,50,389,24,0,0,0,8,2,2
0,0,0,1,225,26,28,389,24,0,1,2,2,2,1
0,0,0,1,225,26,28,389,24,0,1,2,2,2,2
0,0,0,1,179,26,30,389,19,1,0,0,1,2,2
0,0,0,1,184,42,27,389,21,0,0,0,8,2,2
0,0,0,1,225,26,28,389,24,0,1,2,3,2,4
0,0,1,0,330,16,28,389,25,1,0,0,8,2,1
0,0,0,1,330,16,28,389,25,1,0,0,1,2,2
0,0,0,1,225,26,28,389,24,0,1,2,1,2,3
0,0,1,0,189,29,33,389,25,0,2,2,8,2,4
0,0,0,1,291,50,32,389,23,0,0,0,2,3,2
0,0,1,0,260,50,36,389,23,0,4,0,8,3,2
0,0,1,0,157,27,29,389,22,0,0,0,3,3,2
0,1,0,0,179,22,40,389,22,1,2,0,8,3,2
0,0,0,1,291,31,40,389,25,0,1,1,8,3,3
1,0,0,0,260,50,36,389,23,0,4,0,8,3,3
1,0,0,0,179,26,30,389,19,1,0,0,8,3,4
1,0,0,0,248,25,47,389,32,0,2,1,3,3,5
1,0,0,0,260,50,36,389,23,0,4,0,40,3,5
1,0,0,0,179,22,40,389,22,1,2,0,40,3,1
1,0,0,0,155,12,34,389,25,0,2,0,16,3,1
0,0,0,1,260,50,36,389,23,0,4,0,16,3,1
1,0,0,0,155,12,34,389,25,0,2,0,8,3,2
1,0,0,0,289,36,33,389,30,0,2,1,8,3,4
1,0,0,0,179,22,40,389,22,1,2,0,8,3,4
0,0,0,1,260,50,36,389,23,0,4,0,4,3,5
0,0,0,1,225,26,28,389,24,0,1,2,1,3,5
1,0,0,0,279,5,39,389,24,0,2,0,8,3,1
1,0,0,0,179,51,38,389,31,0,0,0,24,3,2
0,0,0,1,225,26,28,389,24,0,1,2,2,3,3
1,0,0,0,225,26,28,389,24,0,1,2,8,3,1
1,0,0,0,179,26,30,389,19,1,0,0,1,3,1
1,0,0,0,225,26,28,389,24,0,1,2,8,3,2
1,0,0,0,225,26,28,389,24,0,1,2,16,3,3
1,0,0,0,179,51,38,389,31,0,0,0,3,3,3
1,0,0,0,279,5,39,389,24,0,2,0,16,3,4
0,0,0,1,225,26,28,389,24,0,1,2,2,3,5
1,0,0,0,248,25,47,389,32,0,2,1,3,3,5
0,0,0,1,225,26,28,389,24,0,1,2,1,3,1
0,0,0,1,291,31,40,389,25,0,1,1,1,4,3
0,0,0,1,225,26,28,389,24,0,1,2,1,4,3
0,0,0,1,155,12,34,389,25,0,2,0,1,4,2
1,0,0,0,246,25,41,389,23,0,0,0,24,4,3
0,0,0,1,155,12,34,389,25,0,2,0,1,4,4
0,0,0,1,225,26,28,389,24,0,1,2,2,4,5
0,0,0,1,260,50,36,389,23,0,4,0,4,4,5
1,0,0,0,179,51,38,389,31,0,0,0,24,4,3
0,0,0,1,118,13,50,389,31,0,1,0,1,4,4
0,0,0,1,291,31,40,389,25,0,1,1,3,4,5
1,0,0,0,246,25,41,389,23,0,0,0,8,4,5
0,0,0,1,291,31,40,389,25,0,1,1,1,4,5
0,0,0,1,248,25,47,389,32,0,2,1,8,4,5
0,0,1,0,260,50,36,389,23,0,4,0,56,4,5
0,0,1,0,289,36,33,389,30,0,2,1,8,4,2
1,0,0,0,155,12,34,389,25,0,2,0,24,4,3
0,0,1,0,378,49,36,389,21,0,2,4,8,4,3
1,0,0,0,289,36,33,389,30,0,2,1,16,4,4
1,0,0,0,235,11,37,389,29,1,1,1,3,4,5
0,0,0,0,235,29,48,389,33,0,1,5,0,4,1
1,0,0,0,289,36,33,389,30,0,2,1,8,5,3
0,0,0,1,155,12,34,389,25,0,2,0,2,5,4
0,0,0,1,155,12,34,389,25,0,2,0,1,5,1
0,0,1,0,179,51,38,389,31,0,0,0,8,5,2
0,0,1,0,225,26,28,389,24,0,1,2,8,5,2
1,0,0,0,184,42,27,389,21,0,0,0,4,5,3
0,0,0,1,155,12,34,389,25,0,2,0,2,5,1
1,0,0,0,179,51,38,389,31,0,0,0,1,5,2
1,0,0,0,289,36,33,389,30,0,2,1,24,5,3
0,0,0,0,279,5,39,389,24,0,2,0,0,5,3
0,0,0,0,330,16,28,389,25,1,0,0,0,5,3
0,0,0,0,378,49,36,389,21,0,2,4,0,5,3
0,0,0,0,388,15,50,389,24,0,0,0,0,5,3
1,0,0,0,179,51,38,389,31,0,0,0,1,5,2
1,0,0,0,118,13,50,389,31,0,1,0,24,5,3
0,0,0,1,361,52,28,389,27,0,1,4,8,5,5
0,0,1,0,246,25,41,389,23,0,0,0,8,6,1
0,0,0,1,361,52,28,389,27,0,1,4,8,6,1
1,0,0,0,246,25,41,389,23,0,0,0,24,6,2
0,0,0,1,291,31,40,389,25,0,1,1,4,6,4
1,0,0,0,246,25,41,389,23,0,0,0,8,6,5
1,0,0,0,179,51,38,389,31,0,0,0,8,6,1
0,0,0,1,155,12,34,389,25,0,2,0,4,6,1
1,0,0,0,246,25,41,389,23,0,0,0,8,6,1
1,0,0,0,118,13,50,389,31,0,1,0,8,6,3
1,0,0,0,235,11,37,389,29,1,1,1,16,6,5
0,0,0,1,118,13,50,389,31,0,1,0,1,6,2
1,0,0,0,118,13,50,389,31,0,1,0,80,6,3
0,0,0,1,378,49,36,389,21,0,2,4,8,6,4
1,0,0,0,179,51,38,389,31,0,0,0,2,6,5
0,0,0,1,289,48,49,389,36,0,0,2,2,6,1
0,0,0,1,225,26,28,389,24,0,1,2,2,6,4
0,0,1,0,155,12,34,389,25,0,2,0,16,7,2
1,0,0,0,118,13,50,389,31,0,1,0,8,7,3
1,0,0,0,118,10,37,389,28,0,0,0,8,7,5
0,0,0,1,118,10,37,389,28,0,0,0,4,7,5
0,0,0,1,330,16,28,389,25,1,0,0,8,7,2
0,0,1,0,179,26,30,389,19,1,0,0,8,7,4
0,0,0,1,155,12,34,389,25,0,2,0,2,7,5
1,0,0,0,330,16,28,389,25,1,0,0,8,7,1
1,0,0,0,330,16,28,389,25,1,0,0,8,7,2
0,0,0,1,157,27,29,389,22,0,0,0,3,7,1
0,0,0,1,361,52,28,389,27,0,1,4,8,7,2
0,0,0,1,289,36,33,389,30,0,2,1,8,7,3
0,0,0,1,179,51,38,389,31,0,0,0,8,7,4
0,0,1,0,289,36,33,389,30,0,2,1,32,7,1
0,0,1,0,289,36,33,389,30,0,2,1,8,7,4
0,0,0,0,260,50,36,389,23,0,4,0,0,7,4
0,0,1,0,289,36,33,389,30,0,2,1,8,8,4
0,0,1,0,157,27,29,389,22,0,0,0,3,8,4
0,0,0,1,289,36,33,389,30,0,2,1,1,8,7
0,0,1,0,228,14,58,389,22,0,2,1,8,8,1
1,0,0,0,300,26,43,389,25,0,2,1,1,8,3
1,0,0,0,300,26,43,389,25,0,2,1,2,8,3
0,0,0,1,260,50,36,389,23,0,4,0,4,8,4
0,0,0,1,289,36,33,389,30,0,2,1,4,8,1
0,0,0,1,248,25,47,389,32,0,2,1,1,8,2
1,0,0,0,268,11,33,389,25,1,0,0,8,8,3
0,0,0,1,179,26,30,389,19,1,0,0,1,8,3
1,0,0,0,118,13,50,389,31,0,1,0,3,8,3
0,0,0,1,248,25,47,389,32,0,2,1,2,8,7
0,0,0,1,235,11,37,389,29,1,1,1,1,8,1
0,0,0,1,118,13,50,389,31,0,1,0,1,8,3
0,0,1,0,235,11,37,389,29,1,1,1,8,8,3
1,0,0,0,361,52,28,389,27,0,1,4,8,8,1
1,0,0,0,184,42,27,389,21,0,0,0,8,8,2
1,0,0,0,179,51,38,389,31,0,0,0,8,9,1
0,0,0,1,179,51,38,389,31,0,0,0,3,9,5
0,0,1,0,289,36,33,389,30,0,2,1,24,9,3
0,0,0,0,235,20,43,389,38,0,1,0,0,9,4
1,0,0,0,246,25,41,389,23,0,0,0,16,9,1
0,0,0,1,291,31,40,389,25,0,1,1,3,9,2
0,0,0,0,231,35,39,389,35,0,2,2,0,9,2
0,0,0,0,291,50,32,389,23,0,0,0,0,9,2
1,0,0,0,179,51,38,389,31,0,0,0,8,9,3
1,0,0,0,246,25,41,389,23,0,0,0,32,9,3
0,0,0,1,179,51,38,389,31,0,0,0,1,9,4
0,0,0,1,291,31,40,389,25,0,1,1,4,9,5
0,0,0,1,260,50,36,389,23,0,4,0,4,9,5
0,0,0,1,235,20,43,389,38,0,1,0,8,9,3
0,0,0,1,118,13,50,389,31,0,1,0,1,9,4
0,0,0,0,235,20,43,389,38,0,1,0,0,9,4
0,0,0,1,291,31,40,389,25,0,1,1,3,9,5
1,0,0,0,291,31,40,389,25,0,1,1,40,9,1
1,0,0,0,179,51,38,389,31,0,0,0,8,9,1
0,0,0,1,289,36,33,389,30,0,2,1,8,10,3
0,0,0,1,235,11,37,389,29,1,1,1,4,10,3
0,0,0,1,289,36,33,389,30,0,2,1,8,10,3
0,0,0,1,289,36,33,389,30,0,2,1,8,10,4
0,0,0,0,118,13,50,389,31,0,1,0,0,10,4
0,0,0,0,248,25,47,389,32,0,2,1,0,10,4
1,0,0,0,179,26,30,389,19,1,0,0,8,10,3
1,0,0,0,118,10,37,389,28,0,0,0,3,10,3
0,0,0,1,369,17,31,389,25,0,3,0,8,10,3
0,0,0,1,179,51,38,389,31,0,0,0,1,10,5
1,0,0,0,179,26,30,389,19,1,0,0,64,10,5
0,0,0,0,235,20,43,389,38,0,1,0,0,10,5
0,0,1,0,289,36,33,389,30,0,2,1,16,10,6
0,0,0,1,260,50,36,389,23,0,4,0,3,10,7
0,0,0,0,235,20,43,389,38,0,1,0,0,10,7
0,0,0,1,235,20,43,389,38,0,1,0,2,10,3
0,0,0,1,235,20,43,389,38,0,1,0,2,10,3
0,0,0,1,118,13,50,389,31,0,1,0,1,10,4
0,0,0,1,291,31,40,389,25,0,1,1,4,10,4
0,0,0,1,179,26,30,389,19,1,0,0,16,10,6
0,0,0,1,118,13,50,389,31,0,1,0,1,10,6
1,0,0,0,361,52,28,389,27,0,1,4,8,10,3
0,0,0,0,260,50,36,389,23,0,4,0,0,10,4
0,0,0,0,291,31,40,389,25,0,1,1,0,10,4
0,0,0,0,157,27,29,389,22,0,0,0,0,10,4
1,0,0,0,179,26,30,389,19,1,0,0,5,10,5
1,0,0,0,179,26,30,389,19,1,0,0,5,10,5
0,0,0,1,118,13,50,389,31,0,1,0,1,10,6
1,0,0,0,118,10,37,389,28,0,0,0,8,11,1
0,0,0,1,248,25,47,389,32,0,2,1,2,11,1
1,0,0,0,179,51,38,389,31,0,0,0,8,11,2
0,0,0,1,260,50,36,389,23,0,4,0,3,11,5
0,0,0,1,291,31,40,389,25,0,1,1,1,11,1
1,0,0,0,378,49,36,389,21,0,2,4,8,11,1
1,0,0,0,155,12,34,389,25,0,2,0,120,11,1
0,0,0,1,235,20,43,389,38,0,1,0,8,11,1
0,0,0,0,330,16,28,389,25,1,0,0,0,11,2
0,0,1,0,235,11,37,389,29,1,1,1,1,11,3
1,0,0,0,118,10,37,389,28,0,0,0,3,11,3
0,0,0,1,235,11,37,389,29,1,1,1,2,11,4
0,0,0,1,179,51,38,389,31,0,0,0,3,11,4
1,0,0,0,246,25,41,389,23,0,0,0,8,11,5
1,0,0,0,291,31,40,389,25,0,1,1,4,11,5
1,0,0,0,246,25,41,389,23,0,0,0,8,11,1
0,0,0,1,179,51,38,389,31,0,0,0,1,11,2
1,0,0,0,260,50,36,389,23,0,4,0,8,11,3
0,1,0,0,260,50,36,389,23,0,4,0,8,11,5
0,0,0,0,378,49,36,389,21,0,2,4,0,11,5
0,0,0,0,279,5,39,389,24,0,2,0,0,11,2
0,0,0,1,179,51,38,389,31,0,0,0,1,11,4
1,0,0,0,225,26,28,389,24,0,1,2,3,12,1
0,0,0,1,179,51,38,389,31,0,0,0,2,12,1
0,0,0,1,179,51,38,389,31,0,0,0,1,12,1
0,0,0,1,235,11,37,389,29,1,1,1,3,12,1
0,0,0,1,118,13,50,389,31,0,1,0,1,12,2
0,0,0,1,260,50,36,389,23,0,4,0,4,12,5
1,0,0,0,246,25,41,389,23,0,0,0,8,12,4
